shot, 4.0
difference, 4.0
range, 3.4
viewfinder, 3.3333333333333335
feel, 3.2
color, 3.2
life, 3.0
people, 2.6
zoom, 2.565
setting, 2.52
print, 2.4
auto, 2.1999999999999997
photo, 2.1
review, 2.0363636363636366
month, 2.0
purchase, 2.0
exposure, 1.9666666666666668
camera, 1.7885837167527312
thing, 1.7851851851851852
use, 1.77781036168133
light, 1.75
price, 1.75
resolution, 1.7315151515151512
shutter, 1.6099999999999999
shoot, 1.5876923076923077
film, 1.5
quality, 1.3978947368421053
depth, 1.3824242424242426
canon, 1.2842657342657342
action, 1.2000000000000002
hold, 1.2000000000000002
read, 1.2
photography, 1.12
control, 1.1199999999999999
point, 0.9333333333333333
mobile, 0.8571428571428571
view, 0.8
time, 0.7777777777777777
charge, 0.7428571428571428
problem, 0.7200000000000001
picture, 0.712820512820513
lens, 0.6797202797202796
default, 0.5
image, 0.4107692307692307
need, 0.4
mode, 0.39999999999999997
line, 0.33333333333333337
plastic, 0.30000000000000004
button, 0.125
battery, -0.14999999999999986
adjustment, -0.18888888888888888
flaw, -0.2333333333333333
flash, -0.29999999999999993
product, -0.3999999999999999
card, -0.5
bit, -0.5833333333333334
drive, -0.5888888888888889
focus, -0.5925925925925927
strap, -0.7333333333333334
format, -0.9230769230769231
expectation, -1.6
hand, -2.7999999999999994
